pod_name,timestamp,CPU (%),MEM (B),Energy (watts)
weatherforecaster-berlin-edge,2026-01-24 01:50:03,0.011828128835193479,257323008.0,3.491800000000513
weathercollector-berlin,2026-01-24 01:50:03,0.0,38617088.0,0.0
weathercollect-thess,2026-01-24 01:50:03,0.0,28614656.0,0.0
forecaster-tenant-pool,2026-01-24 01:50:03,0.0013625023705882203,801726464.0,0.3199000000004162
weatherforecaster-berlin-vm,2026-01-24 01:50:03,0.00019555808546581701,442187776.0,0.0
weatherforecaster-berlin-vm,2026-01-24 01:50:33,0.003906642362018693,442073088.0,2.2214999999996508
weathercollector-berlin,2026-01-24 01:50:33,0.0,38617088.0,0.0
weatherforecaster-berlin-edge,2026-01-24 01:50:33,0.009780863164938074,257323008.0,2.470299999999892
forecaster-tenant-pool,2026-01-24 01:50:33,0.006422108614372865,801705984.0,3.045300000000316
weathercollect-thess,2026-01-24 01:50:33,0.0,28614656.0,0.0
weatherforecaster-berlin-edge,2026-01-24 01:51:03,0.009747856665234745,257323008.0,2.4894999999999228
weathercollect-thess,2026-01-24 01:51:03,0.0,28614656.0,0.0
weatherforecaster-berlin-vm,2026-01-24 01:51:03,0.0,442077184.0,0.0
weathercollector-berlin,2026-01-24 01:51:03,0.0,38617088.0,0.0
forecaster-tenant-pool,2026-01-24 01:51:03,0.0022921350984433306,802263040.0,0.8673999999987548
forecaster-tenant-pool,2026-01-24 01:51:33,0.002899664260492721,801763328.0,1.679100000000047
weatherforecaster-berlin-edge,2026-01-24 01:51:33,0.008020455296744585,257323008.0,2.4192999999989606
weathercollect-thess,2026-01-24 01:51:33,0.0,28614656.0,0.0
weathercollector-berlin,2026-01-24 01:51:33,0.0,38617088.0,0.0
weatherforecaster-berlin-vm,2026-01-24 01:51:33,0.0,442077184.0,0.0
weatherforecaster-berlin-edge,2026-01-24 01:52:03,0.008437246364868858,257323008.0,2.720900000001227
forecaster-tenant-pool,2026-01-24 01:52:03,0.00238249912897707,801828864.0,0.8216000000008231
weatherforecaster-berlin-vm,2026-01-24 01:52:03,0.0,442077184.0,0.0
weathercollect-thess,2026-01-24 01:52:03,0.0,28614656.0,0.0
weathercollector-berlin,2026-01-24 01:52:03,0.0,38617088.0,0.0
weathercollector-berlin,2026-01-24 01:52:33,0.0,38617088.0,0.0
forecaster-tenant-pool,2026-01-24 01:52:33,0.0058830029748909865,801529856.0,1.8205999999993763
weatherforecaster-berlin-vm,2026-01-24 01:52:33,0.004090295134944154,442073088.0,0.7144000000000232
weathercollect-thess,2026-01-24 01:52:33,0.0,28614656.0,0.0
weatherforecaster-berlin-edge,2026-01-24 01:52:33,0.007105445614602696,257335296.0,0.0
weatherforecaster-berlin-edge,2026-01-24 01:53:03,0.0,257335296.0,0.0
forecaster-tenant-pool,2026-01-24 01:53:03,0.0012981331906217976,801595392.0,1.316500000000997
weathercollector-berlin,2026-01-24 01:53:03,7.812947579490008e-05,38612992.0,0.05339999999999539
weatherforecaster-berlin-vm,2026-01-24 01:53:03,0.0,442077184.0,1.537599999999899
weathercollect-thess,2026-01-24 01:53:03,0.0,28614656.0,0.24559999999995252
weatherforecaster-berlin-edge,2026-01-24 01:53:33,0.0,257335296.0,0.0
weathercollector-berlin,2026-01-24 01:53:33,0.0,38612992.0,0.0
